record_id,payload,source,source_family,evidence_type,date,year,title,url,doi,pmid,nct_id,patent_id,journal_or_source,payload_relevance,decision_relevance,relevance_score,status,flags,snippet
pubmed-sn38-03987b3e2085fc,SN-38,PubMed,paper,paper,2026-01-01,2026,Prognostic impact of TROP2 in adenocarcinoma of the esophageal junction and stomach.,https://pubmed.ncbi.nlm.nih.gov/41533296/,,41533296,,,Clin Transl Oncol,weak,medium,78,auto_parsed_pending_review,,
pubmed-sn38-f1a0e19292f089,SN-38,PubMed,paper,paper,2026-01-01,2026,Dynamic monitoring of antibody drug conjugates targeting TROP2 or HER2 in breast cancer using circulating tumor cells.,https://pubmed.ncbi.nlm.nih.gov/42308036/,,42308036,,,Proc Natl Acad Sci U S A,weak,medium,78,auto_parsed_pending_review,,
openalex-sn38-c2f94f58bbf0a4,SN-38,OpenAlex,paper_metadata,paper_metadata,2026-06-17,2026,Tumor microenvironment conversion through intelligent nanomedicine: a paradigm shift in overcoming chemoresistance,https://doi.org/10.3389/fonc.2026.1812990,10.3389/fonc.2026.1812990,,,,Frontiers in Oncology,weak,medium,55,auto_parsed_pending_review,,
openalex-sn38-5d45a3ae9cfa3d,SN-38,OpenAlex,paper_metadata,paper_metadata,2026-06-12,2026,A super-inert near-infrared fluorescent rotaxane dye for surgical navigation,https://doi.org/10.1038/s41566-026-01945-9,10.1038/s41566-026-01945-9,,,,Nature Photonics,weak,low,52,auto_parsed_pending_review,,
openalex-sn38-3ece6bb6c40219,SN-38,OpenAlex,paper_metadata,paper_metadata,2026-06-15,2026,Pan-cancer multi-omic integration of Trop2 reveals biological determinants and translational implications for ADC therapy,https://doi.org/10.1038/s41698-026-01523-w,10.1038/s41698-026-01523-w,,,,npj Precision Oncology,weak,low,52,auto_parsed_pending_review,,
openalex-sn38-37bc7f749ee28e,SN-38,OpenAlex,paper_metadata,paper_metadata,2026-06-15,2026,"Antibody-drug conjugates in gynecologic malignancies: breakthroughs, challenges, and future directions",https://doi.org/10.3389/fimmu.2026.1831465,10.3389/fimmu.2026.1831465,,,,Frontiers in Immunology,weak,low,52,auto_parsed_pending_review,,
openalex-sn38-c07933e7e6d626,SN-38,OpenAlex,paper_metadata,paper_metadata,2026-06-17,2026,Advances in Targeted Pyrazinamide Delivery via Functionalized Chitosan Nanoparticles,https://doi.org/10.25258/ijddt.16.55s.34,10.25258/ijddt.16.55s.34,,,,International Journal of Drug Delivery Technology,weak,low,52,auto_parsed_pending_review,,
openalex-sn38-9af8025c81a3ba,SN-38,OpenAlex,paper_metadata,paper_metadata,2026-06-17,2026,"Unveiling natural anti-inflammatory compounds for sinusitis treatments by modulating FOXP3, C5aR1, and LIF",https://doi.org/10.3389/fimmu.2026.1792658,10.3389/fimmu.2026.1792658,,,,Frontiers in Immunology,weak,low,52,auto_parsed_pending_review,,
openalex-sn38-9feb9a12b34ff9,SN-38,OpenAlex,paper_metadata,paper_metadata,2026-06-17,2026,Dynamic monitoring of antibody drug conjugates targeting TROP2 or HER2 in breast cancer using circulating tumor cells,https://doi.org/10.1073/pnas.2601563123,10.1073/pnas.2601563123,,,,Proceedings of the National Academy of Sciences,weak,low,52,auto_parsed_pending_review,,
openalex-sn38-a3f38cdb815674,SN-38,OpenAlex,paper_metadata,paper_metadata,2026-06-18,2026,Nanoparticles that target nonamyloid and nontau pathways in Alzheimer’s disease,https://doi.org/10.1186/s11671-026-04747-8,10.1186/s11671-026-04747-8,,,,Discover Nano,weak,low,52,auto_parsed_pending_review,,
crossref-sn38-214187feaf04f7,SN-38,Crossref,paper_metadata,paper_metadata,2027-04-01,2027,In Vitro Killing of Multi-Drug Resistant Microorganisms Isolated from Ventilator Associated Pneumonia by Nanoparticles,https://doi.org/10.21608/ejmm.2026.481052.2331,10.21608/ejmm.2026.481052.2331,,,,Egyptian Journal of Medical Microbiology,weak,low,36,flagged_needs_review,crossref_low_relevance,
crossref-sn38-a1ccf2875f95e0,SN-38,Crossref,paper_metadata,paper_metadata,2027-06-01,2027,【預刊】（39卷）基層官僚、裁量權以及官僚代表性：臺灣桃園市社會行政與原住民急難救助的個案研究,https://doi.org/10.53106/1018189x202512002,10.53106/1018189x202512002,,,,人文及社會科學集刊,weak,low,36,flagged_needs_review,crossref_low_relevance,
crossref-sn38-d681e8104ee4c5,SN-38,Crossref,paper_metadata,paper_metadata,2027-06-01,2027,"【預刊】（39卷）Competition, Foreign Ownership and Welfare in a Mixed Duopoly",https://doi.org/10.53106/1018189x202510101,10.53106/1018189x202510101,,,,人文及社會科學集刊,weak,low,36,flagged_needs_review,crossref_low_relevance,
crossref-sn38-28c1779b5460fb,SN-38,Crossref,paper_metadata,paper_metadata,2027-06-01,2027,【預刊】（39卷）Does Reducing Ability Tracking Improve Equity at the Cost of Student Achievement? Evidence from Taiwan’s High School Admission Reform,https://doi.org/10.53106/1018189x202603001,10.53106/1018189x202603001,,,,人文及社會科學集刊,weak,low,36,flagged_needs_review,crossref_low_relevance,
crossref-sn38-4cf48d32f69a74,SN-38,Crossref,paper_metadata,paper_metadata,2027-07-01,2027,العَقلُ بينَ التقييد والإطلاق في الفِكر الاسلامي,https://doi.org/10.21608/aakj.2026.470958.2366,10.21608/aakj.2026.470958.2366,,,,المجلة العلمیة لکلیة الآداب-جامعة أسیوط,weak,low,36,flagged_needs_review,crossref_low_relevance,
crossref-sn38-59cfcc4542f7c5,SN-38,Crossref,paper_metadata,paper_metadata,2027-07-01,2027,حقُّ المرأة في مخالعة الزوج في ضوء الفقه الإسلامي,https://doi.org/10.21608/aakj.2026.470910.2365,10.21608/aakj.2026.470910.2365,,,,المجلة العلمیة لکلیة الآداب-جامعة أسیوط,weak,low,36,flagged_needs_review,crossref_low_relevance,
crossref-sn38-240aee2a1810cb,SN-38,Crossref,paper_metadata,paper_metadata,2027-07-01,2027,تنظيم الذات والتجول العقلي لدى التلاميذ ذوي صعوبات التعلم الأكاديمية والعاديين (دراسة: ارتباطية مقارنة),https://doi.org/10.21608/aakj.2026.474163.2379,10.21608/aakj.2026.474163.2379,,,,المجلة العلمیة لکلیة الآداب-جامعة أسیوط,weak,low,36,flagged_needs_review,crossref_low_relevance,
crossref-sn38-fea1a16fc2ec49,SN-38,Crossref,paper_metadata,paper_metadata,2027-12-31,2027,"Chapter 2. Rule of the Roast: Pewter Platters, Chargers of Clay",https://doi.org/10.9783/9781512830057-006,10.9783/9781512830057-006,,,,Pepperpot City,weak,low,36,flagged_needs_review,crossref_low_relevance,
